"NAME","TLD","CATEGORY"
"zelfhulp","be","non-commercial"
"zone1","be","non-commercial"
"olviboom","be","non-commercial"
"devlieger-kaulille","be","holding page non-commercial"
"hemelaersglas","be","company"
"viniamici","be","non-commercial"
"geo","be","non-commercial"
"vanseveren","be","company"
"2540pi","be","error"
"morren","be","company"
"blog","be","holding page company"
"pernot","be","holding page non-commercial"
"q-park","be","company"
"zottegem","be","non-commercial"
"rymoplast","be","company"
"taktik","b","company"
"schoonheidsinstituut-brigitte","be","company"
"sramek","be","error"
"zoutleeuw","be","non-commercial"
"dns","be","non-commercial"
"aaksent","be","company"
"maudlin","be","error"
"a-tower","be","company"
"hijts","be","error"
"aertssen","be","error"
"yucom","be","company"
"a-galerie","be","company"
"jsmf","be","error"
"ahssonck","be","password protected"
"denayer","be","holding page non-commercial"
"procarbon","be","company"
"goyensmaes","be","holding page company"
"vaeremans","be","company"
"lamosca","be","web-shop"
"assuria","be","company"
"huisartsengroephetdorp","be","company"
"biotechdag","be","non-commercial"
"motors","be","for sale"
"immo-elmech","be","holding page company"
"bartdemoor","be","personal-family-blog"
"agricon","be","company"
"pyrana","be","holding page company"
"rdlhp","be","personal-family-blog"
"cocovite","be","company"
"saris","be","error"
"ikkomnaardemoete","be","error"
"zzmogh","be","non-commercial"
"rsprquts","be","error"
"quintensgroup","be","holding page company"
"sbim","be","company"
"dermanutrals","be","holding page company"
"v5","be","error"
"hema","be","web-shop"
"quinte","be","error"
"a-vt","be","company"
"marcdestoop","be","company"
"mahieu","be","company"
"becove","be","company"
"stienmichiels","be","company"
"levantas","be","holding page company"
"dreamland","be","company"
"quantumc","be","error"
"basf-c-s","be","error"
"dehutten","be","non-commercial"
"onehoney","be","pay-per-click"
"wellesnietes","be","company"
"corvo","be","error"
"aegten","be","company"
"uyttebroek","be","error"
"hupa","be","for sale"
"dbtech","be","company"
"engineeringnet","be","portal/media"
"artesroegiers","be","company"
"hetvluggertje","be","error"
"zoogdierenatlasbrussel","be","non-commercial"
"statik","be","company"
"despeelvogel","be","company"
"medischeinformatie","be","non-commercial"
"szl13","be","holding page non-commercial"
"lannooshop","be","web-shop"
"maartenmichiels","be","personal-family-blog"
"lbone","be","error"
"videovacaturebank","be","holding page company"
"techno-vision","be","error"
"3fzewtomyja-orfcwottsiqz3s4lewoqlad6b61ljahyhnfdisnwixiokzapfgd4","be","error"
"interieur","be","company"
"winbelgium","be","error"
"batisol","be","company"
"lyscarpets","be","error"
"thethrill","be","company"
"ae-render","be","holding page company"
"mosaique-mahaux","be","company"
"dink","be","company"
"vanopstalverbergt","be","holding page non-commercial"
"johma-hamal","be","error"
"noba","be","web-shop"
"90kulak","be","error"
